Alabama|Montgomery
Alaska|Juneau
Arizona|Phoenix
Arkansas|Little Rock
California|Sacramento
Colorado|Denver
Connecticut|Hartford
Delaware|Dover
Florida|Tallahassee
Georgia|Atlanta
Hawaii|Honolulu
Idaho|Boise
Illinois|Springfield
Maryland|Annapolis
Minnesota|Saint Paul
Iowa|Des Moines
Maine|Augusta
Kentucky|Frankfort
Indiana|Indianapolis
Kansas|Topeka
Louisiana|Baton Rouge
Oregon|Salem
Oklahoma|Oklahoma City
Ohio|Columbus
North Dakota|Bismarck
North Carolina|Raleigh
New York|Albany
New Mexico|Santa Fe
New Jersey|Trenton
New Hampshire|Concord
Nevada|Carson City
Nebraska|Lincoln
Montana|Helena
Missouri|Jefferson City
Mississippi|Jackson
Massachusetts|Boston
Michigan|Lansing
Pennsylvania|Harrisburg
Rhode Island|Providence
South Carolina|Columbia
South Dakota|Pierre
Tennessee|Nashville
Texas|Austin
Utah|Salt Lake City
Vermont|Montpelier
Virginia|Richmond
Washington|Olympia
West Virginia|Charleston
Wisconsin|Madison
Wyoming|Cheyenne
